^DCOMMAND     PID USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
wizard-av 87254 paul    6u  IPv4 0xc008290254f4cfb8      0t0  TCP 127.0.0.1:8787 (LISTEN)
wizard-av 87254 paul    7u  IPv4 0xaac35436226406fd      0t0  TCP 127.0.0.1:8787->127.0.0.1:58274 (ESTABLISHED)
wizard-av 87254 paul    9u  IPv4 0xd27b363baf444f4d      0t0  TCP 127.0.0.1:8787->127.0.0.1:57983 (ESTABLISHED)
wizard-av 87254 paul   10u  IPv4 0xab3c9b85e3f1dde6      0t0  TCP 127.0.0.1:8787->127.0.0.1:57984 (ESTABLISHED)
wizard-av 87254 paul   12u  IPv4  0xbc8119b72fa7e5d      0t0  TCP 127.0.0.1:8787->127.0.0.1:58052 (ESTABLISHED)
wizard-av 87254 paul   13u  IPv4 0xa49ca25a37061439      0t0  TCP 127.0.0.1:8787->127.0.0.1:58053 (ESTABLISHED)
wizard-av 87254 paul   14u  IPv4 0x88e00ad33db9eebf      0t0  TCP 127.0.0.1:8787->127.0.0.1:58054 (ESTABLISHED)
wizard-av 87254 paul   15u  IPv4 0x88987171556a27e0      0t0  TCP 127.0.0.1:8787->127.0.0.1:58189 (ESTABLISHED)
Codex\x20 88729 paul   26u  IPv4 0xcbab81f18bf4407f      0t0  TCP 127.0.0.1:58189->127.0.0.1:8787 (ESTABLISHED)
Codex\x20 88729 paul   31u  IPv4 0xf7ac133dffa510f5      0t0  TCP 127.0.0.1:57983->127.0.0.1:8787 (ESTABLISHED)
Codex\x20 88729 paul   32u  IPv4 0x4dd8f8ab5441a0cf      0t0  TCP 127.0.0.1:57984->127.0.0.1:8787 (ESTABLISHED)
Codex\x20 88729 paul   33u  IPv4 0x136d832e2ad2a513      0t0  TCP 127.0.0.1:58052->127.0.0.1:8787 (ESTABLISHED)
Codex\x20 88729 paul   34u  IPv4 0xd838e32ebf80b3ca      0t0  TCP 127.0.0.1:58053->127.0.0.1:8787 (ESTABLISHED)
Codex\x20 88729 paul   36u  IPv4 0x1966dd2e7c95839b      0t0  TCP 127.0.0.1:58054->127.0.0.1:8787 (ESTABLISHED)
Codex\x20 88729 paul   47u  IPv4 0xf41b69c93789ff32      0t0  TCP 127.0.0.1:58274->127.0.0.1:8787 (ESTABLISHED)
